what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1537848426266
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1537848426267
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1537848426267
started,bundle,org.testng.eclipse,6.11.0.201703011520,"org.testng.eclipse",1537848426324
os,sysinfo,,,"win32",1537848426332
arch,sysinfo,,,"x86_64",1537848426332
ws,sysinfo,,,"win32",1537848426332
locale,sysinfo,,,"en_US",1537848426332
processors,sysinfo,,,"4",1537848426332
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1537848426332
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1537848426332
java.specification.name,sysinfo,,,"Java Platform API Specification",1537848426332
java.specification.vendor,sysinfo,,,"Oracle Corporation",1537848426332
java.specification.version,sysinfo,,,"1.7",1537848426332
java.vendor,sysinfo,,,"Oracle Corporation",1537848426332
java.version,sysinfo,,,"1.7.0_79",1537848426332
java.vm.info,sysinfo,,,"mixed mode",1537848426332
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1537848426332
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1537848426332
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1537848426332
java.vm.specification.version,sysinfo,,,"1.7",1537848426332
java.vm.vendor,sysinfo,,,"Oracle Corporation",1537848426332
java.vm.version,sysinfo,,,"24.79-b02",1537848426332
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1537848426465
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1537848427481
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1537848428045
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1537848428192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537848432969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537848437099
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1537848439014
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1537848440285
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1537848451343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537848455180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537848466380
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1537848466823
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1537848466862
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1537848481916
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1537848481947
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1537848482057
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1537848482128
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1537848482361
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1537848482375
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1537848482413
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1537848482554
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1537848482569
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1537848482754
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1537848482756
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1537848483158
